File,Sex,Genotype,Landmark1_X,Landmark1_Y,Landmark1_Z,,Landmark2_X,Landmark2_Y,Landmark2_Z
V221121_HandGal4dcrmCherryTripControl_tube2_f1,Virgin,Control,0.68735,0.62835,1.3747,,0.3304,0.5546,2.22725
V221121_HandGal4dcrmCherryTripControl_tube2_f2,Virgin,Control,0.7552,0.55165,1.62545,,0.77585,0.51625,2.17415
V221121_HandGal4dcrmCherryTripControl_tube2_f3,Virgin,Control,0.7906,0.58115,1.53695,,0.5959,0.30975,2.0119
V221121_HandGal4dcrmCherryTripControl_tube2_f4,Virgin,Control,0.61065,0.6077,1.51925,,0.55165,0.30385,1.9057
M221121_HandGal4dcrmCherryTripControl_tube2_m5,Male,Control,0.8437,0.59885,1.24195,,0.8791,0.36285,1.4809
M221121_HandGal4dcrmCherryTripControl_tube2_m6,Male,Control,0.65785,0.5959,1.2272,,0.7965,0.35695,1.4632
M221121_HandGal4dcrmCherryTripControl_tube2_m7,Male,Control,0.7021,0.6195,1.3629,,0.649,0.3717,1.6166
M221121_HandGal4dcrmCherryTripControl_tube2_m8,Male,Control,0.66965,0.5664,1.3393,,0.6431,0.30385,1.56055
M221121_HandGal4dcrmCherryTripControl_tube2_m9,Male,Control,0.79945,0.649,1.3865,,0.73455,0.4248,1.62545
V221121_HandGal4dcrTraRNAi_tube2_f1,Virgin,Masculinised,0.72865,0.49265,1.66085,,0.62835,0.49265,2.13285
V221121_HandGal4dcrTraRNAi_tube2_f2,Virgin,Masculinised,0.6962,0.46315,1.48385,,0.7139,0.42185,2.0355
V221121_HandGal4dcrTraRNAi_tube2_f3,Virgin,Masculinised,0.6431,0.4838,1.46025,,0.4897,0.4543,2.11515
V221121_HandGal4dcrTraRNAi_tube2_f4,Virgin,Masculinised,0.6962,0.6136,1.5222,,0.52805,0.43365,2.1417
M221121_HandGal4dcrTraRNAi_tube2_m5,Male,Masculinised,0.82305,0.5664,1.35995,,1.10035,0.36875,1.6579
M221121_HandGal4dcrTraRNAi_tube2_m6,Male,Masculinised,0.75225,0.46315,1.15935,,0.60475,0.2832,1.52515
M221121_HandGal4dcrTraRNAi_tube2_m7,Male,Masculinised,0.75815,0.4543,1.34815,,0.7493,0.4012,1.7759
M221121_HandGal4dcrTraRNAi_tube2_m8,Male,Masculinised,0.767,0.6077,1.42485,,0.5841,0.40415,1.85555
M221121_HandGal4dcrTraRNAi_tube2_m9,Male,Masculinised,0.6962,0.59295,1.34815,,0.74635,0.5546,1.75525
V221123_HandGal4dcrmCherryTripControl_tube3_f1,Virgin,Control,0.6372,0.6018,1.5222,,0.5251,0.5251,2.19775
V221123_HandGal4dcrmCherryTripControl_tube3_f2,Virgin,Control,0.6195,0.67555,1.5576,,0.5723,0.45135,2.18005
V221123_HandGal4dcrmCherryTripControl_tube3_f3,Virgin,Control,0.5546,0.68735,1.60185,,0.531,0.46905,1.99125
V221123_HandGal4dcrmCherryTripControl_tube3_f4,Virgin,Control,0.6785,0.5841,1.43075,,0.55755,0.2832,1.84965
M221123_HandGal4dcrmCherryTripControl_tube3_m5,Male,Control,0.63425,0.43365,1.1446,,0.51035,0.3245,1.38355
M221123_HandGal4dcrmCherryTripControl_tube3_m6,Male,Control,0.73455,0.6903,1.37175,,0.6608,0.65785,1.6992
M221123_HandGal4dcrmCherryTripControl_tube3_m7,Male,Control,0.74635,0.48675,1.24785,,0.7198,0.3894,1.5753
M221123_HandGal4dcrmCherryTripControl_tube3_m8,Male,Control,0.78765,0.7375,1.39535,,0.82305,0.6431,1.7995
M221123_HandGal4dcrmCherryTripControl_tube3_m9,Male,Control,0.6313,0.48085,1.33635,,0.5192,0.3186,1.56645
V221123_HandGal4dcTraRNAi_tube3_f1,Virgin,Masculinised,0.6962,0.6254,1.47795,,0.68735,0.46905,2.03255
V221123_HandGal4dcTraRNAi_tube3_f2,Virgin,Masculinised,0.7257,0.413,1.3688,,0.6844,0.3009,1.9175
V221123_HandGal4dcTraRNAi_tube3_f3,Virgin,Masculinised,0.77585,0.5369,1.67855,,0.8378,0.47495,2.31575
V221123_HandGal4dcTraRNAi_tube3_f4,Virgin,Masculinised,0.7375,0.46315,1.56055,,0.74635,0.5251,2.2125
M221123_HandGal4dcTraRNAi_tube3_m10,Male,Masculinised,0.71095,0.5428,1.416,,0.8024,0.51625,1.8172
M221123_HandGal4dcTraRNAi_tube3_m5,Male,Masculinised,0.73455,0.41595,1.3747,,0.6136,0.35695,1.86735
M221123_HandGal4dcTraRNAi_tube3_m6,Male,Masculinised,0.7493,0.5251,1.26555,,0.6726,0.37465,1.6638
M221123_HandGal4dcTraRNAi_tube3_m7,Male,Masculinised,0.6372,0.52215,1.3983,,0.49265,0.5782,1.80245
M221123_HandGal4dcTraRNAi_tube3_m8,Male,Masculinised,0.75225,0.5251,1.23015,,0.79945,0.2832,1.48385
M221123_HandGal4dcTraRNAi_tube3_m9,Male,Masculinised,0.61065,0.58705,1.3983,,0.5841,0.54575,1.8054
V221125_HandGal4dcrmCherryTripControl_tube4_f3,Virgin,Control,0.65785,0.65785,1.51925,,0.6726,0.34515,2.1417
V221125_HandGal4dcrmCherryTripControl_tube4_f4,Virgin,Control,0.7611,0.59885,1.49565,,0.7316,0.2065,1.8821
V221125_HandGal4dcrmCherryTripControl_tube4_f5,Virgin,Control,0.66965,0.6431,1.54285,,0.61065,0.3717,1.9765
V221125_HandGal4dcrmCherryTripControl_tube4_f6,Virgin,Control,0.71685,0.6018,1.63725,,0.6431,0.4307,2.0768
M221125_HandGal4dcrmCherryTripControl_tube4_m1,Male,Control,0.79945,0.5546,1.0856,,0.8968,0.27435,1.20655
M221125_HandGal4dcrmCherryTripControl_tube4_m11,Male,Control,0.73455,0.94695,1.4573,,0.6549,0.88205,1.80835
M221125_HandGal4dcrmCherryTripControl_tube4_m2,Male,Control,0.7257,0.51035,1.2036,,0.5133,0.38055,1.51925
M221125_HandGal4dcrmCherryTripControl_tube4_m7,Male,Control,0.69325,0.5015,1.38945,,0.81125,0.5133,1.6402
M221125_HandGal4dcrmCherryTripControl_tube4_m8,Male,Control,0.71095,0.5841,1.2685,,0.78765,0.45135,1.6166
M221125_HandGal4dcrmCherryTripControl_tube4_m9,Male,Control,0.885,0.62245,1.86735,,0.944,0.4071,2.23315
V221125_HandGal4dcrTraRNAi_tube4_f1,Virgin,Masculinised,0.66965,0.5015,1.4691,,0.6844,0.1888,1.97945
V221125_HandGal4dcrTraRNAi_tube4_f2,Virgin,Masculinised,0.68735,0.66965,1.59005,,0.7434,0.57525,2.32165
V221125_HandGal4dcrTraRNAi_tube4_f3,Virgin,Masculinised,0.7434,0.5133,1.5104,,0.6726,0.3599,1.94405
V221125_HandGal4dcrTraRNAi_tube4_f4,Virgin,Masculinised,0.73455,0.5546,1.4337,,0.80535,0.5605,2.0886
V221125_HandGal4dcrTraRNAi_tube4_f5,Virgin,Masculinised,0.76405,0.5074,1.5812,,0.69915,0.25075,2.0178
V221125_HandGal4dcrTraRNAi_tube4_f6,Virgin,Masculinised,0.6608,0.58115,1.5871,,0.73455,0.6254,2.2007
M221125_HandGal4dcrTraRNAi_tube4_m10,Male,Masculinised,0.68735,0.59885,1.37175,,0.8083,0.51625,1.6933
M221125_HandGal4dcrTraRNAi_tube4_m11,Male,Masculinised,0.7021,0.649,1.44255,,0.6608,0.38055,1.8644
M221125_HandGal4dcrTraRNAi_tube4_m7,Male,Masculinised,0.7729,0.4366,1.4101,,0.7021,0.3953,1.8231
M221125_HandGal4dcrTraRNAi_tube4_m8,Male,Masculinised,0.8614,0.6313,1.36585,,1.07085,0.51625,1.6815
M221125_HandGal4dcrTraRNAi_tube4_m9,Male,Masculinised,0.82305,0.58115,1.27145,,0.71095,0.2478,1.62545
V230206_HanddcrtraRNAi_tube1_f1,Virgin,Masculinised,0.7375,0.50445,1.57825,,0.7375,0.44545,2.2125
V230206_HanddcrtraRNAi_tube1_f2,Virgin,Masculinised,0.7434,0.4602,1.43075,,0.62245,0.46905,2.2302
V230206_HanddcrtraRNAi_tube1_f3,Virgin,Masculinised,0.6431,0.6018,1.41305,,0.74635,0.3186,2.0414
V230206_HanddcrtraRNAi_tube1_f4,Virgin,Masculinised,0.708,0.53395,1.46025,,0.6195,0.28615,1.7818
V230206_HanddcrtraRNAi_tube1_f5,Virgin,Masculinised,0.68735,0.4602,1.4927,,0.74045,0.3363,1.8172
V230206_HanddcrtraRNAi_tube1_f6,Virgin,Masculinised,0.8378,0.5428,1.4986,,0.7493,0.5959,2.183
M230206_HanddcrtraRNAi_tube1_m10,Male,Masculinised,0.7198,0.56345,1.4396,,0.7965,0.531,1.7523
M230206_HanddcrtraRNAi_tube1_m11,Male,Masculinised,0.8437,0.57525,1.4691,,0.8732,0.40415,1.79655
M230206_HanddcrtraRNAi_tube1_m7,Male,Masculinised,0.6785,0.5605,1.30685,,0.64605,0.2419,1.5517
M230206_HanddcrtraRNAi_tube1_m8,Male,Masculinised,0.7552,0.5369,1.3983,,0.8142,0.50445,1.71985
M230206_HanddcrtraRNAi_tube1_m9,Male,Masculinised,0.7611,0.5841,1.41305,,0.885,0.5782,1.652
V230206_HandtripControl_tube1_f1,Virgin,Control,0.7434,0.55755,1.4042,,0.70505,0.413,1.9234
V230206_HandtripControl_tube1_f2,Virgin,Control,0.7434,0.55165,1.51335,,0.65785,0.42185,1.93225
V230206_HandtripControl_tube1_f3,Virgin,Control,0.71095,0.54575,1.59005,,0.81125,0.62835,2.1004
V230206_HandtripControl_tube1_f4,Virgin,Control,0.6667,0.5074,1.4927,,0.84665,0.3717,1.93815
V230206_HandtripControl_tube1_f5,Virgin,Control,0.6785,0.5428,1.5281,,0.7139,0.51035,2.2774
M230206_HandtripControl_tube1_m10,Male,Control,0.6431,0.7375,1.3452,,0.76995,0.5664,1.61955
M230206_HandtripControl_tube1_m6,Male,Control,0.6136,0.55755,1.2744,,0.72865,0.4661,1.5222
M230206_HandtripControl_tube1_m7,Male,Control,0.79945,0.55165,1.2862,,0.8378,0.33925,1.5104
M230206_HandtripControl_tube1_m8,Male,Control,0.81715,0.48085,1.357,,0.9617,0.30975,1.5694
M230206_HandtripControl_tube1_m9,Male,Control,0.86435,0.58705,1.3924,,0.826,0.4779,1.8054
V230208_HanddcrtraRNAi_tube2_f1,Virgin,Masculinised,0.59885,0.46905,1.5399,,0.73455,0.472,2.0591
V230208_HanddcrtraRNAi_tube2_f2,Virgin,Masculinised,0.77585,0.52805,1.4868,,0.64605,0.59295,2.1653
V230208_HanddcrtraRNAi_tube2_f3,Virgin,Masculinised,0.78765,0.69325,1.67855,,0.826,0.767,2.21545
V230208_HanddcrtraRNAi_tube2_f4,Virgin,Masculinised,0.82305,0.5546,1.6048,,0.89385,0.4012,2.0945
V230208_HanddcrtraRNAi_tube2_f5,Virgin,Masculinised,0.7139,0.46315,1.48385,,0.7434,0.5605,2.18595
M230208_HanddcrtraRNAi_tube2_m10,Male,Masculinised,0.7965,0.59,1.40715,,0.8319,0.57525,1.79065
M230208_HanddcrtraRNAi_tube2_m6,Male,Masculinised,0.65785,0.6313,1.3806,,0.7139,0.6254,1.68445
M230208_HanddcrtraRNAi_tube2_m7,Male,Masculinised,0.7493,0.48085,1.36585,,0.8083,0.3953,1.69035
M230208_HanddcrtraRNAi_tube2_m8,Male,Masculinised,0.7847,0.59885,1.4278,,0.649,0.48675,1.7582
M230208_HanddcrtraRNAi_tube2_m9,Male,Masculinised,0.79945,0.56345,1.3747,,0.885,0.3835,1.652
V230208_HanddcrtripControl_tube2_f1,Virgin,Control,0.79355,0.4838,1.5753,,0.69325,0.26845,2.19775
V230208_HanddcrtripControl_tube2_f2,Virgin,Control,0.68145,0.4189,1.4278,,0.81125,0.4248,2.13875
V230208_HanddcrtripControl_tube2_f3,Virgin,Control,0.64015,0.5192,1.41895,,0.5428,0.2773,1.8821
V230208_HanddcrtripControl_tube2_f4,Virgin,Control,0.6726,0.531,1.46615,,0.8083,0.3422,1.9588
V230208_HanddcrtripControl_tube2_f5,Virgin,Control,0.7434,0.4425,1.38355,,0.6608,0.3481,1.7523
V230208_HanddcrtripControl_tube2_f6,Virgin,Control,0.7198,0.53985,1.6933,,0.78175,0.34515,2.02665
M230208_HanddcrtripControl_tube2_m10,Male,Control,0.7375,0.6195,1.3806,,0.8083,0.3776,1.6048
M230208_HanddcrtripControl_tube2_m11,Male,Control,0.7021,0.5133,1.38355,,0.66375,0.55755,1.69625
M230208_HanddcrtripControl_tube2_m7,Male,Control,0.8201,0.4543,1.3334,,0.7375,0.42185,1.64315
M230208_HanddcrtripControl_tube2_m8,Male,Control,0.9204,0.7906,1.37765,,1.0443,0.61655,1.5517
M230208_HanddcrtripControl_tube2_m9,Male,Control,0.78765,0.4248,1.41895,,0.5782,0.3481,1.7405
