 ,X,Y,Length
429,704,614,3.030
430,704,616,3.030
431,702,616,3.030
432,702,618,3.030
433,700,618,3.030
434,700,620,4.285
435,698,622,3.030
436,698,624,3.030
437,696,624,3.030
438,696,626,3.030
439,694,626,3.030
440,694,628,3.030
441,692,628,4.285
442,690,630,3.030
443,688,630,3.030
444,688,632,3.030
445,686,632,4.285
446,684,634,3.030
447,682,634,4.285
448,680,636,3.030
449,678,636,3.030
450,678,638,3.030
451,676,638,4.285
452,674,640,3.030
453,672,640,4.285
454,670,642,3.030
455,668,642,3.030
456,668,644,3.030
457,666,644,3.030
458,664,644,3.030
459,664,646,3.030
460,662,646,4.285
461,660,648,3.030
462,658,648,3.030
463,658,650,3.030
464,656,650,4.285
465,654,652,3.030
466,652,652,4.285
467,650,654,3.030
468,648,654,3.030
469,648,656,3.030
470,646,656,3.030
471,644,656,4.285
472,642,658,3.030
473,640,658,3.030
474,638,658,4.285
475,636,660,3.030
476,634,660,3.030
477,632,660,4.285
478,630,662,3.030
479,628,662,3.030
480,626,662,3.030
481,624,662,3.030
482,624,664,3.030
483,622,664,3.030
484,620,664,3.030
485,618,664,3.030
486,616,664,4.285
487,614,666,3.030
488,612,666,3.030
489,610,666,3.030
490,608,666,3.030
491,606,666,3.030
492,604,666,3.030
493,602,666,3.030
494,600,666,3.030
495,598,666,3.030
496,596,666,3.030
497,596,668,3.030
498,594,668,3.030
499,592,668,3.030
500,590,668,3.030
501,588,668,3.030
502,586,668,3.030
503,584,668,3.030
504,582,668,3.030
505,580,668,3.030
506,578,668,3.030
507,576,668,3.030
508,574,668,3.030
509,572,668,3.030
510,570,668,4.285
511,568,666,3.030
512,566,666,3.030
513,564,666,3.030
514,562,666,4.285
515,560,664,3.030
516,558,664,3.030
517,556,664,4.285
518,554,662,3.030
519,552,662,3.030
520,550,662,4.285
521,548,660,3.030
522,546,660,4.285
523,544,658,3.030
524,542,658,3.030
525,540,658,3.030
526,538,658,4.285
527,536,656,3.030
528,534,656,3.030
529,532,656,3.030
530,532,654,3.030
531,530,654,3.030
532,528,654,4.285
533,526,652,3.030
534,524,652,3.030
535,522,652,4.285
536,520,650,3.030
537,518,650,3.030
538,516,650,4.285
539,514,648,3.030
540,512,648,3.030
541,510,648,3.030
542,510,646,3.030
543,508,646,3.030
544,506,646,3.030
545,504,646,4.285
546,502,644,3.030
547,500,644,4.285
548,498,642,3.030
549,496,642,4.285
550,494,640,3.030
551,492,640,3.030
552,490,640,4.285
553,488,638,3.030
554,486,638,4.285
555,484,636,3.030
556,482,636,3.030
557,482,634,3.030
558,480,634,3.030
559,478,634,4.285
560,476,632,3.030
561,474,632,4.285
562,472,630,3.030
563,470,630,3.030
564,468,630,3.030
565,468,628,3.030
566,466,628,4.285
567,464,626,3.030
568,462,626,3.030
569,460,626,4.285
570,458,624,3.030
571,456,624,3.030
572,456,622,3.030
573,454,622,4.285
574,452,620,3.030
575,450,620,3.030
576,450,618,3.030
577,448,618,3.030
578,446,618,4.285
579,444,616,3.030
580,442,616,3.030
581,442,614,3.030
582,440,614,4.285
583,438,612,4.285
584,436,610,3.030
585,434,610,4.285
586,432,608,4.285
587,430,606,3.030
588,428,606,4.285
589,426,604,4.285
590,424,602,3.030
591,422,602,3.030
592,422,600,4.285
593,420,598,4.285
594,418,596,4.285
595,416,594,4.285
596,414,592,4.285
597,412,590,3.030
598,412,588,3.030
599,410,588,3.030
600,410,586,3.030
601,410,584,3.030
602,410,582,3.030
603,408,582,3.030
604,408,580,3.030
605,408,578,3.030
606,408,576,3.030
607,406,576,3.030
608,406,574,3.030
609,406,572,4.285
610,404,570,3.030
611,404,568,3.030
612,404,566,3.030
613,402,566,3.030
614,402,564,3.030
615,402,562,3.030
616,400,562,3.030
617,400,560,3.030
618,400,558,4.285
619,398,556,3.030
620,398,554,4.285
621,396,552,3.030
622,396,550,3.030
623,396,548,3.030
624,396,546,3.030
625,396,544,3.030
626,394,544,3.030
627,394,542,3.030
628,394,540,3.030
629,394,538,3.030
630,394,536,3.030
631,394,534,3.030
632,394,532,3.030
633,394,530,3.030
634,394,528,3.030
635,394,526,3.030
636,394,524,3.030
637,394,522,3.030
638,394,520,3.030
639,394,518,3.030
640,394,516,3.030
641,394,514,3.030
642,396,514,3.030
643,396,512,3.030
644,396,510,4.285
645,398,508,3.030
646,398,506,3.030
647,398,504,3.030
648,400,504,3.030
649,400,502,3.030
650,400,500,3.030
651,402,500,3.030
652,402,498,3.030
653,402,496,3.030
654,404,496,3.030
655,404,494,3.030
656,406,494,3.030
657,406,492,4.285
658,408,490,3.030
659,410,490,3.030
660,410,488,3.030
661,412,488,3.030
662,412,486,3.030
663,414,486,3.030
664,414,484,3.030
665,416,484,4.285
666,418,482,4.285
667,420,480,3.030
668,422,480,4.285
669,424,478,3.030
670,426,478,4.285
671,428,476,4.285
672,430,474,3.030
673,432,474,3.030
674,434,474,3.030
675,434,472,3.030
676,436,472,3.030
677,438,472,3.030
678,438,470,3.030
679,440,470,3.030
680,442,470,3.030
681,444,470,3.030
682,446,470,3.030
683,448,470,3.030
684,450,470,4.285
685,452,468,3.030
686,454,468,3.030
687,456,468,3.030
688,458,468,3.030
689,460,468,3.030
690,462,468,3.030
691,464,468,3.030
692,466,468,3.030
693,468,468,3.030
694,470,468,3.030
695,472,468,3.030
696,474,468,3.030
697,476,468,3.030
698,478,468,3.030
699,480,468,3.030
700,482,468,3.030
701,484,468,3.030
702,486,468,3.030
703,488,468,3.030
704,490,468,3.030
705,490,466,3.030
706,492,466,3.030
707,494,466,3.030
708,496,466,3.030
709,498,466,3.030
710,500,466,3.030
711,502,466,3.030
712,504,466,3.030
713,506,466,3.030
714,508,466,3.030
715,510,466,3.030
716,512,466,3.030
717,512,468,3.030
718,514,468,3.030
719,514,470,3.030
720,516,470,3.030
721,516,472,3.030
722,518,472,3.030
723,518,474,3.030
724,518,476,3.030
725,518,478,3.030
726,520,478,3.030
727,520,480,3.030
728,520,482,3.030
729,520,484,3.030
730,520,486,3.030
731,520,488,3.030
732,520,490,3.030
733,520,492,3.030
734,520,494,3.030
735,520,496,3.030
736,520,498,3.030
737,520,500,3.030
738,520,502,3.030
739,520,504,3.030
740,520,506,4.285
741,518,508,3.030
742,518,510,3.030
743,518,512,3.030
744,518,514,3.030
745,518,516,3.030
746,518,518,4.285
747,516,520,3.030
748,516,522,3.030
749,516,524,3.030
750,516,526,3.030
751,516,528,3.030
752,516,530,3.030
753,516,532,3.030
754,516,534,3.030
755,516,536,3.030
756,516,538,3.030
757,516,540,3.030
758,516,542,3.030
759,516,544,3.030
760,516,546,3.030
761,516,548,3.030
762,516,550,3.030
763,516,552,3.030
764,516,554,3.030
765,518,554,3.030
766,518,556,4.285
767,520,558,3.030
768,520,560,4.285
769,522,562,3.030
770,522,564,3.030
771,524,564,3.030
772,524,566,4.285
773,526,568,4.285
774,528,570,3.030
775,528,572,3.030
776,530,572,3.030
777,530,574,3.030
778,532,574,3.030
779,532,576,4.285
780,534,578,3.030
781,536,578,3.030
782,536,580,3.030
783,538,580,3.030
784,538,582,3.030
785,540,582,3.030
786,540,584,3.030
787,542,584,4.285
788,544,586,4.285
789,546,588,3.030
790,548,588,3.030
791,548,590,3.030
792,550,590,4.285
793,552,592,3.030
794,554,592,3.030
795,554,594,3.030
796,556,594,4.285
797,558,596,3.030
798,560,596,4.285
799,562,598,3.030
800,564,598,3.030
801,564,600,3.030
802,566,600,3.030
803,568,600,4.285
804,570,602,3.030
805,572,602,3.030
806,574,602,3.030
807,576,602,3.030
808,576,604,3.030
809,578,604,3.030
810,580,604,3.030
811,582,604,3.030
812,584,604,3.030
813,586,604,3.030
814,588,604,3.030
815,590,604,3.030
816,592,604,3.030
817,594,604,3.030
818,596,604,3.030
819,598,604,3.030
820,600,604,3.030
821,602,604,3.030
822,604,604,3.030
823,606,604,3.030
824,608,604,3.030
825,610,604,4.285
826,612,602,3.030
827,614,602,3.030
828,616,602,3.030
829,618,602,3.030
830,618,600,3.030
831,620,600,3.030
832,622,600,4.285
833,624,598,4.285
834,626,596,3.030
835,628,596,3.030
